Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:36:19.759000,LEC,16,0 days 00:01:32.719000,14.0,3.0,,,0 days 00:00:23.100000,0 days 00:00:28.396000,0 days 00:00:41.223000,0 days 00:35:10.140000,0 days 00:35:38.536000,0 days 00:36:19.759000,118.0,283.0,296.0,325.0,True,ULTRASOFT,4.0,True,Sauber,0 days 00:34:47.040000,2018-06-23 14:30:47.106,1,,False,,False,True
0 days 00:41:18.286000,LEC,16,,15.0,3.0,,0 days 00:38:01.817000,0 days 00:00:27.659000,0 days 00:00:32.210000,,0 days 00:36:47.437000,0 days 00:37:19.625000,,95.0,253.0,,289.0,False,ULTRASOFT,5.0,True,Sauber,0 days 00:36:19.759000,2018-06-23 14:32:19.825,1,,False,,False,False
0 days 00:43:27.348000,LEC,16,0 days 00:02:09.062000,16.0,4.0,0 days 00:41:18.943000,,0 days 00:00:34.586000,0 days 00:00:34.406000,0 days 00:01:00.070000,0 days 00:41:52.872000,0 days 00:42:27.278000,0 days 00:43:27.348000,100.0,268.0,299.0,276.0,False,ULTRASOFT,1.0,True,Sauber,0 days 00:41:18.286000,2018-06-23 14:37:18.352,1,,False,,False,False
0 days 00:44:59.403000,LEC,16,0 days 00:01:32.055000,17.0,4.0,,,0 days 00:00:22.841000,0 days 00:00:28.147000,0 days 00:00:41.067000,0 days 00:43:50.189000,0 days 00:44:18.336000,0 days 00:44:59.403000,119.0,283.0,299.0,326.0,True,ULTRASOFT,2.0,True,Sauber,0 days 00:43:27.348000,2018-06-23 14:39:27.414,1,,False,,False,True
0 days 01:06:51.665000,LEC,16,,18.0,4.0,,0 days 00:46:57.504000,0 days 00:00:30.455000,0 days 00:00:39.129000,,0 days 00:45:29.960000,0 days 00:46:08.999000,,86.0,247.0,,172.0,False,ULTRASOFT,3.0,True,Sauber,0 days 00:44:59.403000,2018-06-23 14:40:59.469,125,,False,,False,False
0 days 01:08:47.072000,LEC,16,0 days 00:01:55.407000,19.0,5.0,0 days 01:06:52.349000,,0 days 00:00:35.395000,0 days 00:00:33.171000,0 days 00:00:46.841000,0 days 01:07:27.060000,0 days 01:08:00.231000,0 days 01:08:47.072000,101.0,269.0,297.0,283.0,False,ULTRASOFT,1.0,True,Sauber,0 days 01:06:52.349000,2018-06-23 15:02:52.415,1,,False,,False,False
0 days 01:10:19.707000,LEC,16,0 days 00:01:32.635000,20.0,5.0,,,0 days 00:00:22.856000,0 days 00:00:28.418000,0 days 00:00:41.361000,0 days 01:09:09.928000,0 days 01:09:38.346000,0 days 01:10:19.707000,120.0,282.0,296.0,323.0,True,ULTRASOFT,2.0,True,Sauber,0 days 01:08:47.072000,2018-06-23 15:04:47.138,1,,False,,False,True
0 days 01:12:46.490000,LEC,16,0 days 00:02:26.783000,21.0,5.0,,0 days 01:12:15.351000,0 days 00:00:28.857000,0 days 00:00:37.279000,0 days 00:01:20.647000,0 days 01:10:48.564000,0 days 01:11:25.843000,0 days 01:12:46.490000,92.0,248.0,,249.0,False,ULTRASOFT,3.0,True,Sauber,0 days 01:10:19.707000,2018-06-23 15:06:19.773,1,,False,,False,False
0 days 00:06:22.376000,MAG,20,0 days 00:02:04.338000,1.0,1.0,0 days 00:04:18.796000,,0 days 00:00:36.535000,0 days 00:00:33.477000,0 days 00:00:54.326000,0 days 00:04:54.573000,0 days 00:05:28.071000,0 days 00:06:22.480000,97.0,268.0,298.0,303.0,False,ULTRASOFT,1.0,True,Haas F1 Team,0 days 00:04:18.796000,2018-06-23 14:00:18.862,,,False,,False,False
0 days 00:07:55.332000,MAG,20,0 days 00:01:32.956000,2.0,1.0,,,0 days 00:00:23.222000,0 days 00:00:28.459000,0 days 00:00:41.275000,0 days 00:06:45.598000,0 days 00:07:14.057000,0 days 00:07:55.332000,113.0,282.0,297.0,322.0,True,ULTRASOFT,2.0,True,Haas F1 Team,0 days 00:06:22.376000,2018-06-23 14:02:22.442,,,False,,False,False
